model_number,model_name
0,deepset/roberta-base-squad2
1,distilbert-base-cased-distilled-squad
2,bert-large-uncased-whole-word-masking-finetuned-squad
3,nntadotzip/xlnet-base-cased-IUChatbot-ontologyDts-BertPretrainedTokenizerFast
4,deepset/bert-large-uncased-whole-word-masking-squad2
5,bert-large-cased-whole-word-masking-finetuned-squad
6,thatdramebaazguy/roberta-base-squad
7,deepset/bert-base-cased-squad2
8,sshleifer/tiny-distilbert-base-cased-distilled-squad
9,airesearch/bert-base-multilingual-cased-finetune-qa
10,deepset/minilm-uncased-squad2
11,deepset/gelectra-base-germanquad-distilled
12,dmis-lab/biobert-large-cased-v1.1-squad
13,etalab-ia/camembert-base-squadFR-fquad-piaf
14,deepset/roberta-large-squad2
15,distilbert-base-uncased-distilled-squad
16,mrm8488/bert-small-finetuned-squadv2
17,deepset/xlm-roberta-base-squad2
18,mrm8488/bert-medium-finetuned-squadv2
19,nyust-eb210/braslab-bert-drcd-384
20,mfeb/albert-xxlarge-v2-squad2
21,Rakib/roberta-base-on-cuad
22,deepset/tinyroberta-squad2
23,ahotrod/electra_large_discriminator_squad2_512
24,rsvp-ai/bertserini-bert-base-squad
25,deepset/gelectra-base-germanquad
26,ahotrod/albert_xxlargev1_squad2_512
27,mrm8488/distill-bert-base-spanish-wwm-cased-finetuned-spa-squad2-es
28,deepset/xlm-roberta-large-squad2
29,phiyodr/bart-large-finetuned-squad2
